Art_ID,Viz_Num,Graph_Type,Points,Lines,Bar_Col,Box,Hist_Dens,Tiles,Geo_Map,X_Axis,Y_Axis,Color_Fill,Size,Shape,Alpha,Interactive,Motion,Scroll,Perc_Num,Task1,Task2
75,1,5,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,,,
76,1,2,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,,,
76,2,2,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,,,
76,3,2,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,,,
77,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,,
77,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,,
77,3,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
78,1,,0,1,1?,0,0,0,0,0,0,1,0,0,0,0,0,1,,,
78,2,,0,1,1?,0,0,0,0,0,0,1,0,0,0,0,0,1,,,
78,3,,0,1,1?,0,0,0,0,0,0,1,0,0,0,0,0,1,,,
78,4,,0,1,1?,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
78,5,,0,1,1?,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
78,6,,0,1,1?,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
78,7,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
79,1,3,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,,,
80,1,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
80,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
80,3,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
81,1,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
82,1,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
83,1,5,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,,,
83,2,9,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
83,3,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,,,
84,,,,,,,,,,,,,,,,,,,,,
85,1,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,,,
85,2,,,,,,,,,,,,,,,,,,,,
85,3,3,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
85,4,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,5,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,6,3,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,7,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,8,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,9,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,10,4,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,11,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,12,3,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
85,13,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,14,3,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
85,15,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,16,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,17,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,18,3,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
85,19,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,20,3,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
85,21,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,22,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
85,23,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
86,1,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,
86,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,
86,3,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,
86,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,
86,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,
